ID	Meaning (Chinese)
0468	桌子
0469	椅子
0470	凳子
0471	茶几
0472	沙发
0473	衣箱
0474	衣橱
0475	床单
0476	被子
0477	褥子
0478	枕头
0479	蚊帐
0480	凉席
0481	毛毯
0482	地毯
0483	帘子
0484	脸盆
0485	痰盂
0486	烟盂（烟缸）
0487	茶壶
0488	纸篓（纸筐）
0489	盒子
0490	浆糊
0491	肥皂
0492	牙刷（刷牙）
0493	牙膏
0494	毛巾
0495	抹布
0496	拖把（墩布）
0497	镜子
0498	眼镜
0499	手表
0500	尺
0501	剪子（剪刀）
0502	针
0503	线
0504	电灯
0505	日光灯
0506	纽扣
0507	蜡烛
0508	电筒
0509	电池
0510	电表
0511	温度计（寒暑表）
0512	铃（铃声）
0513	打火机
0514	伞
0515	锁
0516	钥匙
0517	扇子
0518	电风扇
0519	电视机
0520	电冰箱
0521	收音机
0522	洗衣机
0523	收录机
0524	碗
0525	筷
0526	杯子
0527	瓢
0528	葫芦
0529	勺
0530	盆
0531	盘子
0532	瓶
0533	桶
0534	笼屉
0535	罐子
0536	坛子
0537	篮子
0538	秤
0539	刀
0540	扫帚
0541	炊帚
0542	笊篱
0543	铲子
0544	案板
0545	擀面杖
0546	锅
0547	锅盖
0548	锅灶
0549	锅炉
0550	烘箱
0551	风箱
0552	煤球
0553	煤饼（蜂窝煤）
0554	煤气
0555	木炭
0556	柴刀
0557	柴火（劈柴）
0558	火柴
0559	水缸
0560	自来水
0561	绳子
0562	簸箕
0563	不久
0564	傍晚（黄昏）
0565	重阳节
0566	除夕
0567	初期
0568	大暑
0569	当天
0570	当时
0571	定期
0572	分钟
0573	伏天
0574	公元
0575	公历（阳历）
0576	古代
0577	过期（逾期）
0578	后期
0579	机会（机遇）
0580	假期
0581	近代
0582	惊蜇
0583	经过
0584	腊月
0585	芒种
0586	每天
0587	每年
0588	每月
0589	蜜月
0590	秒钟
0591	年限
0592	农历（阴历）
0593	期间
0594	期限
0595	迄今
0596	前期
0597	前夕
0598	清明节
0599	任期
0600	日期
0601	日程
0602	如今
0603	闰月
0604	闰年
0605	上旬
0606	生日
0607	时差
0608	时机
0609	适时
0610	寿命
0611	岁月
0612	随时
0613	同时
0614	提前
0615	下旬
0616	先后
0617	现在
0618	现代
0619	限期
0620	小时
0621	延期
0622	一刹那（瞬间）
0623	预期
0624	元旦
0625	正月
0626	整天
0627	中期
0628	中旬
0629	终身
0630	周年
0631	周期
0632	最近
0633	时代
0634	时期
0635	阶段
0636	朝代
0637	年代
0638	年号
0639	世纪
0640	时间（时候）
0641	季节
0642	节气
0643	年
0644	月（一个月）
0645	日（一日）
0646	春（春天）
0647	夏（夏天）
0648	秋（秋天）
0649	冬（冬天）
0650	立春
0651	立夏
0652	立秋
0653	立冬
0654	春分
0655	秋分
0656	夏至
0657	冬至
0658	星期一
0659	一星期
0660	今天
0661	明天
0662	昨天
0663	白天
0664	早上（早晨）
0665	晚上
0666	上午
0667	中午
0668	下午
0669	以前
0670	以后
0671	将来
0672	临时（刚才、一会儿）
0673	暂时
0674	节日
0675	国庆节
0676	妇女节
0677	劳动节（五一节）
0678	端阳节（端午节）
0679	中秋节
0680	圣诞节
0681	春节
0682	聋人节
0683	背面
0684	边
0685	边缘
0686	侧面
0687	对面
0688	附近
0689	旁边
0690	中间
0691	周围
0692	空间
0693	方向
0694	位（位置）
0695	东
0696	西
0697	南
0698	北
0699	上
0700	下
0701	左
0702	右
0703	前
0704	后
0705	正（正面）
0706	反（反面）
0707	表面
0708	内（里面）
0709	外（外面）
0710	凹
0711	碧绿
0712	扁（瘪）
0713	差（劣）
0714	橙色
0715	炽热
0716	粗糙
0717	催
0718	摧毁
0719	陡峭
0720	繁杂（烦杂）
0721	方便
0722	防止
0723	肥沃
0724	分明
0725	腐烂
0726	光滑
0727	褐色
0728	洪亮
0729	滑稽
0730	灰
0731	混（浑浊）
0732	寂静
0733	吉祥
0734	柔和
0735	臊
0736	舒服
0737	爽快
0738	透明
0739	凸
0740	弯
0741	完美（完善）
0742	凶恶
0743	醒
0744	炎热
0745	颜色（彩色）
0746	阴暗
0747	英俊
0748	悠久
0749	悠扬
0750	匀称
0751	崭新
0752	壮丽
0753	棕
0754	褶子
0755	特征
0756	特性
0757	特点
0758	长
0759	短
0760	高
0761	矮（低）
0762	宽（广）
0763	窄（狭）
0764	深
0765	浅
0766	涨
0767	落
0768	厚
0769	薄
0770	粗
0771	细
0772	胖（肥）
0773	瘦
0774	直
0775	曲（曲折）
0776	好
0777	坏
0778	正
0779	歪（斜）
0780	方
0781	圆
0782	尖（锋利、尖锐）
0783	钝（秃）
0784	大
0785	小
0786	挺
0787	平（平等）
0788	皱
0789	沾
0790	干
0791	湿
0792	多
0793	少
0794	单
0795	双
0796	密
0797	疏
0798	空
0799	实
0800	紧
0801	松
0802	胀
0803	缩
0804	硬（坚硬）
0805	软（柔软）
0806	强
0807	弱
0808	浓
0809	淡
0810	稠
0811	粘
0812	重
0813	稀
0814	轻
0815	生
0816	熟
0817	老
0818	嫩
0819	亮（明）
0820	暗
0821	远
0822	近
0823	快
0824	慢
0825	升
0826	降
0827	冷（凉）
0828	热
0829	暖（暖和）
0830	饱（满）
0831	饿
0832	新
0833	旧
0834	破
0835	脏
0836	乱
0837	美
0838	丑
0839	真
0840	假
0841	红
0842	黄
0843	蓝
0844	青
0845	绿
0846	紫
0847	白
0848	黑
0849	香
0850	臭
0851	腥
0852	甜
0853	咸
0854	酸
0855	苦
0856	辣
0857	涩
0858	脆
0859	烂
0860	安排
0861	熬
0862	翱翔
0863	拔
0864	摆
0865	扳
0866	绊
0867	搬运
0868	绑
0869	包
0870	报答
0871	暴露
0872	逼
0873	避让（躲开）
0874	鞭策
0875	标榜
0876	表达
0877	表示
0878	表述
0879	表态
0880	拨
0881	播音
0882	捕
0883	猜
0884	裁剪
0885	采取
0886	参照
0887	操持
0888	测绘
0889	蹭
0890	查询
0891	掺杂
0892	缠
0893	颤抖（哆嗦）
0894	抄
0895	超越（越过）
0896	嘲弄（嘲笑）
0897	撤
0898	撑
0899	承办
0900	承担
0901	冲
0902	冲击
0903	抽
0904	抽打
0905	抽签
0906	揣
0907	踹
0908	出席
0909	传达
0910	闯
0911	戳（杵）
0912	刺（扎）
0913	撮
0914	倡导
0915	搭
0916	搭配
0917	答辩
0918	打扰
0919	打量
0920	担负（担任）
0921	挡（拦截）
0922	倒立
0923	倒
0924	瞪
0925	滴
0926	抵挡
0927	奠定
0928	掂量
0929	钩
0930	调动
0931	跌（摔倒）
0932	叮
0933	顶
0934	抖
0935	逗
0936	渡
0937	端
0938	堆积
0939	对待
0940	发现
0941	发动
0942	翻
0943	飞
0944	废除
0945	封闭
0946	分割
0947	扶
0948	扶持
0949	俯冲
0950	俯视
0951	辅助
0952	复议
0953	搞清（弄清）
0954	改正（订正）
0955	割
0956	隔开
0957	拐弯
0958	灌
0959	打
0960	拍
0961	搔（痒）
0962	摸
0963	拉
0964	推
0965	提
0966	抬（挑、扛）
0967	背
0968	拿（取、得到）
0969	带
0970	抓（揪）
0971	折（掰、拆）
0972	挖
0973	剔
0974	夹
0975	拧
0976	绞
0977	开
0978	关
0979	填（埋）
0980	塞
0981	插（嵌）
0982	放
0983	堆（叠）
0984	挂
0985	铺
0986	盖（扣）
0987	掀（揭）
0988	扔（丢、掉）
0989	接
0990	拾
0991	装
0992	卷
0993	捆
0994	绕
0995	穿
0996	戴
0997	脱
0998	贴
0999	洗
1000	擦
1001	磨
1002	捞
1003	舀
1004	拌
1005	砍
1006	刮
1007	搬
1008	摇
1009	走
1010	跑
1011	跳
1012	踢
1013	坐
1014	蹲
1015	立（站）
1016	骑
1017	跨（越）
1018	踩
1019	来
1020	去（出）
1021	进
1022	退
1023	跟
1024	到
1025	看
1026	听
1027	说（说话）
1028	尝
1029	吃
1030	喝
1031	咬
1032	嚼
1033	咽
1034	吸（吮）
1035	呼
1036	喊（叫）
1037	嗅（闻）
1038	靠（偎）
1039	趴
1040	滚
1041	转
1042	衡量
1043	哄
1044	呼唤
1045	呼吁
1046	划分
1047	晃
1048	挥
1049	获得
1050	喝彩
1051	寄托
1052	借鉴
1053	解除
1054	解散
1055	交替
1056	纠缠
1057	举
1058	捐献
1059	举办
1060	开拓（开辟）
1061	开创
1062	烤
1063	嗑
1064	磕碰
1065	啃
1066	恐吓
1067	爬（攀）
1068	跪
1069	挤
1070	笑
1071	哭
1072	唠叨
1073	吹
1074	理顺
1075	撩
1076	醉
1077	捞取
1078	停（停止）
1079	漏
1080	用
1081	录用
1082	痛
1083	论述（阐述）
1084	抱（搂）
1085	拣
1086	捻
1087	捋（捋）
1088	列席
1089	搓
1090	骂
1091	迈
1092	描述（陈述）
1093	命令
1094	命名
1095	默哀
1096	纳入（列入）
1097	挠
1098	捏
1099	凝视
1100	凝聚
1101	徘徊
1102	攀登
1103	攀比
1104	抛
1105	刨
1106	佩带
1107	喷
1108	捧
1109	飘（飘扬）
1110	撇
1111	拼凑
1112	评议
1113	泼水
1114	扑
1115	匍匐
1116	启示
1117	掐
1118	呛（呛）
1119	强调
1120	纠缠
1121	敲
1122	蜷曲
1123	惹
1124	任命
1125	揉
1126	蠕动
1127	撒
1128	洒
1129	散步
1130	杀
1131	删改
1132	商量（商议、商讨）
1133	摄像
1134	伸
1135	呻吟
1136	识别（辨别）
1137	使劲
1138	示范
1139	摔
1140	甩
1141	拴
1142	涮
1143	撕
1144	弹
1145	掏
1146	逃跑
1147	提倡
1148	提供
1149	提醒
1150	提议
1151	探测
1152	探索
1153	躺
1154	舔
1155	挑剔
1156	挑选
1157	同意
1158	投入
1159	透露
1160	吐
1161	托
1162	驮
1163	挽（挎、搀）
1164	望
1165	喂
1166	围绕
1167	吻
1168	刎
1169	下垂
1170	销毁
1171	削
1172	镶嵌
1173	欣赏
1174	许愿
1175	宣布
1176	寻找
1177	压
1178	腌
1179	沿着
1180	掩盖
1181	仰望
1182	移
1183	引导
1184	预测
1185	砸
1186	遭受
1187	摘
1188	瞻仰
1189	蘸
1190	造成
1191	责备
1192	折叠
1193	证明（证实）
1194	征求
1195	支援
1196	阻拦
1197	瞩目
1198	拽
1199	装卸
1200	撞（冲撞）
1201	劳动
1202	就业
1203	工作
1204	休息（休养）
1205	业余
1206	活动
1207	上班
1208	下班
1209	加班
1210	办公
1211	公出（公差）
1212	早退
1213	迟到
1214	离休
1215	值班
1216	退休
1217	辞职（退职）
1218	报到
1219	本职
1220	便条
1221	操劳
1222	操心
1223	出勤
1224	称职
1225	怠工
1226	待业
1227	放假
1228	敷衍（搪塞）
1229	岗位
1230	解雇（解聘）
1231	晋升（晋级）
1232	考勤
1233	聘请
1234	聘书
1235	聘用
1236	评比
1237	请假
1238	窝工
1239	项目
1240	招收
1241	针对
1242	值勤
1243	家庭
1244	生活
1245	恋爱
1246	对象
1247	结婚
1248	离婚
1249	晚婚
1250	聚居
1251	分居
1252	定居
1253	睡觉
1254	起身（起床）
1255	洗脸
1256	刮脸
1257	理发
1258	洗澡
1259	梳头
1260	回家
1261	针织
1262	缝
1263	缝纫
1264	烹饪
1265	切
1266	炸
1267	煎
1268	蒸
1269	炒
1270	煮
1271	淘米
1272	和面
1273	晒
1274	烫
1275	忙
1276	累（疲倦）
1277	菜谱
1278	伺候
1279	订婚
1280	洞房
1281	恩爱
1282	服务
1283	抚养
1284	讣告
1285	赶集
1286	棺材（灵柩）
1287	婚姻
1288	花圈
1289	交往
1290	经历
1291	居住
1292	酒吧
1293	瞌睡
1294	聊天
1295	美发
1296	美容
1297	牌子
1298	烹调
1299	品尝
1300	社会
1301	交际
1302	风俗
1303	习惯
1304	姓名
1305	年龄
1306	籍贯
1307	地址
1308	会客
1309	请客
1310	宴会
1311	参观
1312	访问（走访）
1313	开会
1314	会见（接见）
1315	接头（接触）
1316	约会
1317	热烈
1318	冷淡
1319	欢迎
1320	欢送
1321	招呼
1322	招待
1323	允许
1324	答应
1325	拒绝
1326	要求
1327	需要
1328	接受
1329	接近
1330	礼貌
1331	礼物
1332	酬谢
1333	捐赠（募捐）
1334	关系
1335	联系（接洽）
1336	通讯（通信）
1337	推荐
1338	委托
1339	介绍
1340	告诉
1341	嘱咐
1342	打听
1343	估计
1344	注意
1345	意见
1346	意思
1347	依靠
1348	互相
1349	鼓励
1350	安慰
1351	帮助
1352	照顾
1353	保留
1354	勉强
1355	附和
1356	调和
1357	放弃
1358	利用
1359	竞争
1360	完成
1361	谦让（客气）
1362	节俭
1363	甜蜜
1364	挥霍（浪费）
1365	优先
1366	优待
1367	参考
1368	考验
1369	克服
1370	适应
1371	束缚
1372	暗示
1373	讽刺
1374	侮辱
1375	欺骗
1376	报复
1377	吵架
1378	打架
1379	完了
1380	算了（作罢）
1381	请
1382	谢谢
1383	敬礼
1384	称赞
1385	劳驾
1386	再见
1387	等候
1388	对不起
1389	抱歉
1390	原谅
1391	麻烦（动词）
1392	受累
1393	辛苦
1394	鞠躬
1395	庆祝（祝贺）
1396	陪
1397	留
1398	要
1399	借
1400	还（给）
1401	换（代替）
1402	晚了
1403	到处
1404	按时
1405	一会儿
1406	来得及
1407	来不及
1408	哲学
1409	辩证法
1410	唯物论
1411	唯心论
1412	形而上学
1413	意识
1414	意识形态
1415	认识
1416	思维
1417	反映
1418	精神
1419	物质
1420	存在
1421	真理
1422	实践
1423	理论
1424	感性
1425	理性
1426	主观
1427	客观
1428	概念
1429	逻辑
1430	立场
1431	观点
1432	方法（办法）
1433	方式
1434	印象
1435	形象
1436	抽象
1437	想象
1438	全面
1439	片面
1440	规律
1441	条件
1442	原因（缘故、缘由）
1443	因素
1444	范畴（范围、规模）
1445	界限
1446	静止
1447	飞跃
1448	分析
1449	推理
1450	判断
1451	综合
1452	比较
1453	矛盾
1454	对立（对抗）
1455	统一
1456	肯定
1457	否定
1458	绝对
1459	相对
1460	偶然
1461	必然
1462	平均
1463	平衡
1464	直接
1465	间接
1466	具体
1467	特殊（特别）
1468	折中
1469	个别
1470	一般
1471	系统
1472	体系
1473	主动
1474	被动
1475	贯穿
1476	心理
1477	心情（情绪）
1478	感情
1479	快乐（高兴）
1480	兴奋
1481	舒畅
1482	难过（悲伤）
1483	满意
1484	希望
1485	失望（泄气、灰心）
1486	警惕
1487	麻痹
1488	果断
1489	犹豫
1490	痛恨（恨）
1491	仇恨
1492	气愤
1493	爱
1494	爱情
1495	爱戴
1496	爱护
1497	爱惜
1498	可惜
1499	相信
1500	迷信
1501	信任
1502	尊敬
1503	怀疑（疑心）
1504	关心（关怀）
1505	担心
1506	放心
1507	信心
1508	耐心（忍耐）
1509	决心
1510	雄心
1511	壮志
1512	志愿
1513	志气
1514	兴趣（趣味）
1515	思想（想、思考、考虑）
1516	理想
1517	幻想
1518	刺激
1519	抑制
1520	感想
1521	感觉
1522	想念
1523	纪念
1524	记忆（记住）
1525	忘记
1526	乐观
1527	悲观
1528	承认
1529	否认
1530	观察
1531	考察
1532	觉察（发觉）
1533	理解
1534	了解
1535	研究
1536	钻研
1537	体会
1538	领会
1539	重视
1540	歧视
1541	觉悟
1542	反省
1543	害怕（惧怕、可怕)
1544	懊悔
1545	冤枉
1546	党
1547	共产党
1548	支部
1549	共青团
1550	少先队
1551	中央
1552	地方
1553	政府
1554	国务院
1555	机关
1556	机构
1557	部
1558	司
1559	局
1560	处
1561	科
1562	委员会
1563	办公室
1564	法院
1565	检察院
1566	派出所
1567	团体
1568	单位
1569	组织
1570	工会
1571	协会
1572	联合会
1573	基金会
1574	福利会
1575	政治
1576	政权
1577	主权
1578	权力
1579	权利
1580	义务
1581	统治
1582	专政
1583	祖国
1584	国家
1585	国旗
1586	国徽
1587	国歌
1588	路线
1589	方针
1590	政策
1591	策略
1592	决策
1593	宗旨
1594	主张
1595	纲领
1596	阶级
1597	阶层
1598	宗派
1599	派别
1600	集体
1601	革命
1602	斗争
1603	奋斗
1604	战争
1605	和平
1606	解放
1607	人道
1608	示威（游行）
1609	罢工
1610	起义
1611	标语
1612	口号
1613	号召
1614	形势
1615	局势
1616	倾向
1617	反抗
1618	抵制
1619	民主
1620	自由
1621	集中
1622	纪律（秩序、规矩）
1623	集会
1624	结社
1625	言论
1626	安定
1627	团结
1628	改革
1629	开放
1630	搞活
1631	外交
1632	建交
1633	独立（自立）
1634	自治
1635	联盟
1636	共处
1637	交涉
1638	干涉
1639	抗议
1640	会谈
1641	谈判
1642	条约
1643	公约
1644	协定
1645	照会
1646	声明
1647	阐明
1648	表明
1649	原则
1650	辩论
1651	辩护
1652	维护
1653	保护
1654	保卫
1655	支持
1656	坚持
1657	保持
1658	派遣
1659	使命
1660	紧张
1661	缓和
1662	正义
1663	霸权
1664	控制
1665	操纵
1666	篡夺
1667	篡改
1668	扶植
1669	颠覆（推翻）
1670	复辟
1671	瓜分
1672	分歧
1673	分裂
1674	瓦解
1675	分离
1676	孤立
1677	威胁
1678	争夺（掠夺）
1679	策划
1680	煽动
1681	爆发
1682	粉碎
1683	剥削
1684	压迫
1685	强迫
1686	伪装
1687	阴谋
1688	妄图（妄想）
1689	顽抗
1690	反动
1691	猖狂
1692	伎俩
1693	干扰
1694	捣乱
1695	破坏
1696	腐朽
1697	崩溃
1698	国际
1699	洲际
1700	国界
1701	边界
1702	领域
1703	领土
1704	领空
1705	领海
1706	人质
1707	避难（隐藏、隐蔽）
1708	引渡
1709	护照
1710	超级
1711	国籍
1712	国宾
1713	国宴
1714	无产阶级
1715	资产阶级
1716	社会主义
1717	共产主义
1718	资本主义
1719	帝国主义
1720	行政
1721	筹备
1722	准备
1723	会议
1724	通知
1725	主持
1726	召集
1727	动员
1728	举行
1729	参加
1730	开幕
1731	倡议（建议）
1732	讨论
1733	发言
1734	制定（制订）
1735	闭幕
1736	规定
1737	宣誓
1738	表决
1739	决议
1740	决定
1741	通过
1742	批准
1743	拥戴
1744	拥护
1745	反对
1746	质询（质问）
1747	保证
1748	协商
1749	成立（树立、建立）
1750	汇报
1751	请示
1752	指示
1753	报告
1754	总结
1755	解决
1756	解释
1757	批判
1758	表扬
1759	批评
1760	奖励
1761	劝告
1762	警告
1763	处理
1764	处分（处罚）
1765	察看
1766	开除
1767	贯彻
1768	执行
1769	落实
1770	保密
1771	泄密
1772	任务
1773	步骤
1774	措施
1775	颁布（布告）
1776	颁发
1777	发表
1778	检查
1779	检讨
1780	调查
1781	清查
1782	清除
1783	整理
1784	整顿
1785	调整
1786	教条
1787	修正
1788	罢免
1789	撤换
1790	撤消（取消）
1791	选举（选拔、选择）
1792	当选
1793	落选
1794	提案（议案）
1795	档案
1796	公文
1797	申请
1798	报名
1799	登记
1800	收
1801	发
1802	民政
1803	福利
1804	救济
1805	补助
1806	安置
1807	抚恤
1808	宪法
1809	民法
1810	刑法
1811	法制
1812	法律
1813	法令
1814	章程
1815	制度
1816	条例
1817	治安
1818	规则
1819	准则
1820	守则
1821	合法
1822	非法
1823	违法
1824	违反
1825	诉讼
1826	起诉
1827	申诉
1828	上诉
1829	驳斥
1830	原告
1831	被告
1832	口供
1833	坦白
1834	交代
1835	自首
1836	服从
1837	抗拒
1838	从严
1839	从宽
1840	挽救
1841	检举
1842	控告
1843	搜集
1844	审查
1845	审讯
1846	证据
1847	根据
1848	嫌疑
1849	审判
1850	宣判
1851	判决
1852	犯罪
1853	罪行
1854	故意
1855	过失
1856	隐瞒
1857	腐蚀
1858	贿赂
1859	贪污
1860	盗窃
1861	投机倒把
1862	走私
1863	包庇
1864	教唆
1865	挑拨
1866	勾引（引诱）
1867	勾结
1868	纠纷（冲突）
1869	伪造
1870	侵犯
1871	谣言（造谣）
1872	诽谤（诬陷）
1873	污蔑
1874	混淆
1875	澄清
1876	强奸
1877	摧残
1878	首恶
1879	胁从
1880	惩办
1881	镇压
1882	逮捕
1883	扣留
1884	剥夺
1885	监狱
1886	管制
1887	教养
1888	改造
1889	徒刑
1890	死刑
1891	缓刑
1892	没收（充公）
1893	征用
1894	查封
1895	肃清
1896	平反
1897	符合
1898	核实
1899	继承
1900	遗产
1901	债
1902	身份证
1903	国防
1904	公安
1905	战略
1906	战术
1907	防空
1908	海防
1909	消防
1910	后勤
1911	部署（布置）
1912	统帅（动词）
1913	指挥
1914	侦察
1915	包围
1916	抵抗
1917	射击
1918	发射
1919	射程
1920	爆炸
1921	冲锋（进攻、攻击）
1922	攻势
1923	胜利
1924	成功
1925	失败
1926	退却（撤退）
1927	牺牲
1928	侵略
1929	投降
1930	消灭
1931	占领
1932	密码
1933	退伍
1934	警卫
1935	缉私
1936	拘留
1937	押送
1938	释放
1939	保安
1940	解放军
1941	边防
1942	便衣
1943	搏斗
1944	参谋
1945	海军
1946	刑警
1947	长征
1948	扼守
1949	防守
1950	对峙
1951	阵地
1952	封锁
1953	俘虏
1954	警司
1955	警员
1956	领章
1957	瞄准
1958	警督
1959	收复
1960	搜查
