Ori_ID	L_ID	Meaning (Chinese)
1095	0517	默哀
1099	0518	凝视
1100	0519	凝聚
1107	0520	喷
1111	0521	拼凑
1113	0522	泼水
1114	0523	扑
1116	0524	启示
1121	0525	敲
1123	0526	惹
1124	0527	任命
1125	0528	揉
1126	0529	蠕动
1127	0530	撒
1129	0531	散步
1130	0532	杀
1132	0533	商量（商议、商讨）
1136	0534	识别（辨别）
1138	0535	示范
1139	0536	摔
1142	0537	涮
1146	0538	逃跑
1147	0539	提倡
1148	0540	提供
1149	0541	提醒
1150	0542	提议
1153	0543	躺
1156	0544	挑选
1157	0545	同意
1165	0546	喂
1171	0547	削
1172	0548	镶嵌
1173	0549	欣赏
1174	0550	许愿
1175	0551	宣布
1176	0552	寻找
1178	0553	腌
1179	0554	沿着
1180	0555	掩盖
1184	0556	预测
1186	0557	遭受
1188	0558	瞻仰
1189	0559	蘸
1191	0560	责备
1193	0561	证明（证实）
1194	0562	征求
1195	0563	支援
1203	0564	工作
1204	0565	休息（休养）
1205	0566	业余
1207	0567	上班
1208	0568	下班
1210	0569	办公
1212	0570	早退
1213	0571	迟到
1214	0572	离休
1215	0573	值班
1220	0574	便条
1229	0575	岗位
1230	0576	解雇（解聘）
1231	0577	晋升（晋级）
1232	0578	考勤
1237	0579	请假
1238	0580	窝工
1239	0581	项目
1241	0582	针对
1242	0583	值勤
1244	0584	生活
1245	0585	恋爱
1246	0586	对象
1251	0587	分居
1253	0588	睡觉
1256	0589	刮脸
1258	0590	洗澡
1259	0591	梳头
1260	0592	回家
1262	0593	缝
1263	0594	缝纫
1265	0595	切
1267	0596	煎
1269	0597	炒
1271	0598	淘米
1273	0599	晒
1275	0600	忙
1276	0601	累（疲倦）
1277	0602	菜谱
1278	0603	伺候
1280	0604	洞房
1281	0605	恩爱
1291	0606	居住
1292	0607	酒吧
1293	0608	瞌睡
1294	0609	聊天
1295	0610	美发
1297	0611	牌子
1299	0612	品尝
1300	0613	社会
1301	0614	交际
1304	0615	姓名
1305	0616	年龄
1306	0617	籍贯
1309	0618	请客
1312	0619	访问（走访）
1313	0620	开会
1314	0621	会见（接见）
1315	0622	接头（接触）
1316	0623	约会
1317	0624	热烈
1318	0625	冷淡
1319	0626	欢迎
1320	0627	欢送
1323	0628	允许
1324	0629	答应
1326	0630	要求
1327	0631	需要
1329	0632	接近
1330	0633	礼貌
1331	0634	礼物
1332	0635	酬谢
1333	0636	捐赠（募捐）
1334	0637	关系
1337	0638	推荐
1338	0639	委托
1339	0640	介绍
1342	0641	打听
1343	0642	估计
1346	0643	意思
1349	0644	鼓励
1351	0645	帮助
1352	0646	照顾
1353	0647	保留
1354	0648	勉强
1359	0649	竞争
1360	0650	完成
1361	0651	谦让（客气）
1366	0652	优待
1367	0653	参考
1368	0654	考验
1369	0655	克服
1372	0656	暗示
1374	0657	侮辱
1375	0658	欺骗
1376	0659	报复
1379	0660	完了
1381	0661	请
1382	0662	谢谢
1384	0663	称赞
1386	0664	再见
1387	0665	等候
1388	0666	对不起
1389	0667	抱歉
1391	0668	麻烦（动词）
1392	0669	受累
1393	0670	辛苦
1395	0671	庆祝（祝贺）
1396	0672	陪
1398	0673	要
1399	0674	借
1400	0675	还（给）
1402	0676	晚了
1404	0677	按时
1405	0678	一会儿
1412	0679	形而上学
1413	0680	意识
1414	0681	意识形态
1415	0682	认识
1421	0683	真理
1427	0684	客观
1430	0685	立场
1435	0686	形象
1444	0687	范畴（范围、规模）
1446	0688	静止
1447	0689	飞跃
1452	0690	比较
1454	0691	对立（对抗）
1455	0692	统一
1456	0693	肯定
1459	0694	相对
1464	0695	直接
1465	0696	间接
1466	0697	具体
1467	0698	特殊（特别）
1471	0699	系统
1473	0700	主动
1474	0701	被动
1477	0702	心情（情绪）
1478	0703	感情
1479	0704	快乐（高兴）
1480	0705	兴奋
1484	0706	希望
1485	0707	失望（泄气、灰心）
1487	0708	麻痹
1490	0709	痛恨（恨）
1491	0710	仇恨
1493	0711	爱
1504	0712	关心（关怀）
1505	0713	担心
1509	0714	决心
1510	0715	雄心
1511	0716	壮志
1513	0717	志气
1514	0718	兴趣（趣味）
1515	0719	思想（想、思考、考虑）
1521	0720	感觉
1522	0721	想念
1523	0722	纪念
1524	0723	记忆（记住）
1525	0724	忘记
1528	0725	承认
1530	0726	观察
1531	0727	考察
1532	0728	觉察（发觉）
1533	0729	理解
1535	0730	研究
1538	0731	领会
1539	0732	重视
1540	0733	歧视
1543	0734	害怕（惧怕、可怕)
1547	0735	共产党
1550	0736	少先队
1551	0737	中央
1553	0738	政府
1554	0739	国务院
1555	0740	机关
1556	0741	机构
1557	0742	部
1559	0743	局
1561	0744	科
1564	0745	法院
1565	0746	检察院
1568	0747	单位
1569	0748	组织
1572	0749	联合会
1577	0750	主权
1583	0751	祖国
1585	0752	国旗
1588	0753	路线
1599	0754	派别
1600	0755	集体
1601	0756	革命
1603	0757	奋斗
1606	0758	解放
1608	0759	示威（游行）
1611	0760	标语
1614	0761	形势
1620	0762	自由
1625	0763	言论
1626	0764	安定
1627	0765	团结
1630	0766	搞活
1633	0767	独立（自立）
1638	0768	干涉
1639	0769	抗议
1640	0770	会谈
1643	0771	公约
1644	0772	协定
1645	0773	照会
1650	0774	辩论
1655	0775	支持
1656	0776	坚持
1660	0777	紧张
1662	0778	正义
1663	0779	霸权
1664	0780	控制
1665	0781	操纵
1666	0782	篡夺
1670	0783	复辟
1672	0784	分歧
1673	0785	分裂
1674	0786	瓦解
1675	0787	分离
1677	0788	威胁
1681	0789	爆发
1682	0790	粉碎
1689	0791	顽抗
1692	0792	伎俩
1695	0793	破坏
1697	0794	崩溃
1701	0795	边界
1702	0796	领域
1704	0797	领空
1706	0798	人质
1707	0799	避难（隐藏、隐蔽）
1709	0800	护照
1710	0801	超级
1715	0802	资产阶级
1716	0803	社会主义
1720	0804	行政
1722	0805	准备
1723	0806	会议
1729	0807	参加
1731	0808	倡议（建议）
1732	0809	讨论
1734	0810	制定（制订）
1738	0811	表决
1741	0812	通过
1743	0813	拥戴
1745	0814	反对
1746	0815	质询（质问）
1749	0816	成立（树立、建立）
1755	0817	解决
1756	0818	解释
1763	0819	处理
1764	0820	处分（处罚）
1765	0821	察看
1768	0822	执行
1770	0823	保密
1773	0824	步骤
1774	0825	措施
1780	0826	调查
1781	0827	清查
1783	0828	整理
1785	0829	调整
1786	0830	教条
1791	0831	选举（选拔、选择）
1795	0832	档案
1796	0833	公文
1798	0834	报名
1799	0835	登记
1802	0836	民政
1804	0837	救济
1805	0838	补助
1808	0839	宪法
1814	0840	章程
1816	0841	条例
1817	0842	治安
1818	0843	规则
1819	0844	准则
1820	0845	守则
1822	0846	非法
1823	0847	违法
1829	0848	驳斥
1832	0849	口供
1833	0850	坦白
1837	0851	抗拒
1838	0852	从严
1839	0853	从宽
1840	0854	挽救
1841	0855	检举
1842	0856	控告
1843	0857	搜集
1844	0858	审查
1846	0859	证据
1847	0860	根据
1849	0861	审判
1851	0862	判决
1854	0863	故意
1858	0864	贿赂
1860	0865	盗窃
1871	0866	谣言（造谣）
1872	0867	诽谤（诬陷）
1874	0868	混淆
1878	0869	首恶
1879	0870	胁从
1881	0871	镇压
1882	0872	逮捕
1883	0873	扣留
1884	0874	剥夺
1888	0875	改造
1889	0876	徒刑
1890	0877	死刑
1891	0878	缓刑
1892	0879	没收（充公）
1893	0880	征用
1895	0881	肃清
1896	0882	平反
1900	0883	遗产
1903	0884	国防
1904	0885	公安
1905	0886	战略
1908	0887	海防
1913	0888	指挥
1915	0889	包围
1917	0890	射击
1919	0891	射程
1923	0892	胜利
1931	0893	占领
1933	0894	退伍
1941	0895	边防
1944	0896	参谋
1947	0897	长征
1950	0898	对峙
1952	0899	封锁
1954	0900	警司
1956	0901	领章
1957	0902	瞄准
1959	0903	收复
1963	0904	陆军
1967	0905	突围
1971	0906	巡逻
1975	0907	警备（卫戍）
1976	0908	警督
1985	0909	阵地
1988	0910	罪犯
1990	0911	部队
1992	0912	游击队
1993	0913	民兵
1996	0914	将军
1997	0915	校
1999	0916	士
2002	0917	师
2003	0918	旅
2005	0919	营
2009	0920	士兵
2014	0921	武器
2021	0922	火箭
2030	0923	望远镜
2034	0924	航空母舰
2036	0925	武装
2037	0926	鱼雷
2038	0927	装甲车
2039	0928	民族
2040	0929	汉族
2042	0930	满族
2043	0931	藏族
2048	0932	阿昌族
2051	0933	达翰尔族
2052	0934	傣族
2053	0935	德昂族
2055	0936	俄罗斯族
2057	0937	鄂温克族
2060	0938	哈萨克族
2062	0939	基诺族
2065	0940	柯尔克孜族
2066	0941	拉祜族
2068	0942	傈僳族
2071	0943	纳西族
2075	0944	畲族
2079	0945	锡伯族
2080	0946	瑶族
2081	0947	彝族
2083	0948	种族
2084	0949	宗教
2085	0950	信仰
2086	0951	灵魂
2087	0952	祈祷
2088	0953	佛教（和尚）
2091	0954	基督教（天主教）
2093	0955	庙宇
2094	0956	教堂
2097	0957	忏悔
2098	0958	地狱
2102	0959	喇嘛
2105	0960	上帝
2106	0961	神父
2109	0962	天堂
2116	0963	氏族
2121	0964	兼并
2122	0965	变法
2123	0966	同化
2125	0967	猿人
2127	0968	甲骨
2129	0969	墓葬
2130	0970	碑
2131	0971	坟墓
2132	0972	汉朝
2137	0973	蜀
2138	0974	宋朝
2140	0975	唐朝
2144	0976	财政
2145	0977	贸易
2146	0978	财务
2148	0979	建设
2152	0980	股票
2159	0981	兑现
2163	0982	商业
2164	0983	商店
2169	0984	摊贩
2170	0985	经营
2172	0986	营业
2179	0987	投资
2181	0988	合同
2182	0989	承包
2183	0990	价值
2184	0991	价格（多少钱）
2186	0992	信息
2187	0993	保险
2188	0994	货物（东西）
2190	0995	资源
2192	0996	输出
2193	0997	输入
2194	0998	收入
2198	0999	买
2200	1000	便宜
2205	1001	供应
2207	1002	转让
2208	1003	消费
2210	1004	分配
2214	1005	借条
2216	1006	报销
2217	1007	工资
2218	1008	奖金
2219	1009	人民币
2220	1010	元（人民币）
2222	1011	分（人民币）
2223	1012	挪用
2225	1013	亏损
2230	1014	淘汰
2231	1015	倒闭
2240	1016	成本
2241	1017	成批（批量）
2251	1018	担保
2254	1019	跌价（降价
2257	1020	贩运
2258	1021	浮动
2259	1022	负债（欠债）
2260	1023	港币
2264	1024	股息
2266	1025	合营
2267	1026	合资
2269	1027	回扣
2270	1028	毁约
2271	1029	积压
2275	1030	假冒
2276	1031	交易
2277	1032	节余
2279	1033	借债
2281	1034	经费
2282	1035	经销
2286	1036	卢布
2287	1037	马克
2291	1038	逆差
2294	1039	倾销
2295	1040	日元
2297	1041	审计
2299	1042	实惠
2302	1043	税款
2308	1044	投机（钻空子）
2310	1045	脱销
2315	1046	盈利
2316	1047	优惠
2317	1048	帐户（户头）
2318	1049	账（账目）
2320	1050	折旧
2321	1051	证券
2322	1052	支票
2324	1053	周转
2328	1054	资金
2329	1055	资助(赞助
2330	1056	租
2331	1057	租出
2332	1058	工业
2333	1059	行业
2334	1060	机械（机器）
2335	1061	冶金（冶炼）
2336	1062	铸造
2337	1063	模型
2340	1064	能源
2343	1065	造纸
2345	1066	印染
2348	1067	喷漆
2349	1068	焊接
2352	1069	公司
2353	1070	工厂
2354	1071	车间
2358	1072	成品
2364	1073	产量
2365	1074	数量（多少）
2371	1075	返工
2372	1076	误工
2375	1077	工序
2376	1078	操作
2380	1079	试制
2390	1080	切削
2391	1081	调度
2392	1082	配套
2398	1083	工具
2400	1084	专用
2404	1085	冲床
2406	1086	锯床
2410	1087	电动机（马达）
2411	1088	抬钻
2412	1089	台钳
2414	1090	仪表
2415	1091	仪器
2416	1092	电脑
2422	1093	皮带
2423	1094	齿轮
2426	1095	指示灯
2429	1096	内卡钳
2431	1097	游标卡尺
2434	1098	钳子
2438	1099	斧子（劈）
2442	1100	砂纸
2446	1101	角尺
2452	1102	钢材
2453	1103	生铁
2455	1104	涂料
2461	1105	汽油
2464	1106	勘探
2465	1107	测量
2468	1108	房子
2470	1109	楼梯
2471	1110	电梯
2474	1111	房梁
2475	1112	柱子
2476	1113	墙壁
2477	1114	门
2478	1115	窗
2479	1116	厨房
2492	1117	水泥
2493	1118	砖
2500	1119	道路
2501	1120	隧道
2503	1121	火车
2505	1122	卡车
2506	1123	公共汽车
2509	1124	三轮车
2511	1125	自行车
2515	1126	舵
2516	1127	橹
2521	1128	立交桥
2525	1129	码头
2529	1130	车票
2530	1131	电报
2532	1132	信
2534	1133	信纸
2535	1134	挂号信
2537	1135	侨汇
2538	1136	农
2541	1137	土地
2547	1138	地窖
2548	1139	粪坑
2550	1140	种植
2551	1141	种子
2554	1142	插秧
2555	1143	移植（移栽）
2564	1144	成熟
2571	1145	粮食（食物）
2576	1146	粳米
2577	1147	籼米
2584	1148	麻
2585	1149	蘑菇
2586	1150	木耳
2588	1151	蔬菜
2590	1152	白菜
2598	1153	茭白
2599	1154	辣椒
2600	1155	菱
2601	1156	西红柿（番茄）
2602	1157	姜
2603	1158	葱
2605	1159	笋
2606	1160	土豆
2610	1161	黄瓜
2612	1162	冬瓜
2616	1163	水果
2618	1164	杏
2621	1165	苹果
2622	1166	桔子
2624	1167	柿子
2625	1168	香蕉
2626	1169	核桃
2628	1170	葡萄
2636	1171	藕
2637	1172	农具
2639	1173	犁
2640	1174	耙
2641	1175	锄
2642	1176	铡刀
2644	1177	铁锹
2645	1178	丁字镐
2647	1179	叉
2650	1180	笸箩
2651	1181	扁担
2654	1182	水车
2658	1183	缰绳
2661	1184	笼头
2662	1185	水利
2668	1186	防汛
2669	1187	排涝（排水）
2671	1188	抗旱
2675	1189	化肥（肥田粉）
2677	1190	浮萍
2686	1191	副业
2690	1192	饲养
2692	1193	鸡
2696	1194	兔
2697	1195	蚕
2702	1196	马
2704	1197	骡
2707	1198	麦麸
2708	1199	水浮莲
2709	1200	渔
2711	1201	鱼
2717	1202	甲鱼（乌龟）
2718	1203	乌贼
2720	1204	蚶
2727	1205	鱼叉
2731	1206	鱼网
2732	1207	草垛
2735	1208	菜花
2738	1209	抽水机（水泵）
2746	1210	荔枝
2748	1211	苗圃
2749	1212	泥鳅
2752	1213	授粉
2753	1214	田野
2754	1215	囤
2756	1216	文化
2757	1217	文学
2758	1218	文艺
2763	1219	杂文
2764	1220	论文
2765	1221	故事
2766	1222	情节
2768	1223	目录
2769	1224	内容
2773	1225	美术（绘画）
2774	1226	国画
2775	1227	油画
2776	1228	水彩
2778	1229	色彩
2779	1230	图案
2780	1231	漫画
2786	1232	写生
2789	1233	书法
2790	1234	字帖
2791	1235	刺绣
2792	1236	盆景
2797	1237	杂技
2798	1238	魔术
2802	1239	化妆（打扮）
2803	1240	新闻（消息）
2804	1241	出版
2805	1242	宣传
2806	1243	刊物
2807	1244	杂志
2810	1245	社论
2812	1246	校对
2813	1247	装订
2815	1248	油印
2816	1249	复印
2818	1250	录音
2819	1251	录像
2822	1252	照相（摄影）
2823	1253	照片
2825	1254	胶卷
2827	1255	扩印
2830	1256	古迹
2832	1257	提琴
2837	1258	锣
2840	1259	扩音器
2843	1260	象棋
2844	1261	围棋
2846	1262	俱乐部
2847	1263	文化馆
2848	1264	博物馆
2852	1265	礼堂
2855	1266	教学
2856	1267	教案
2857	1268	学校
2858	1269	教室
2859	1270	班级
2860	1271	小学
2861	1272	中学
2862	1273	大学
2863	1274	师范
2867	1275	智育
2868	1276	学习
2869	1277	学制
2871	1278	课本（书）
2872	1279	课程
2874	1280	上课
2877	1281	寒假
2880	1282	毕业
2881	1283	写字
2882	1284	读书
2883	1285	问答
2884	1286	功课
2885	1287	函授
2888	1288	记录
2889	1289	提纲
2890	1290	考核
2891	1291	考试（测验）
2893	1292	语文
2894	1293	作文
2895	1294	造句
2896	1295	口语
2897	1296	手语
2899	1297	律动
2900	1298	自然
2901	1299	常识
2903	1300	练习题
2904	1301	题目
2905	1302	字典
2911	1303	笔记本
2914	1304	手指字母
2920	1305	启发
2924	1306	笔记
2929	1307	铁笔
2934	1308	研
2935	1309	表格
2937	1310	订书机
2939	1311	钢板
2940	1312	算盘
2941	1313	夏令营
2942	1314	班级 (?)
2943	1315	板书
2944	1316	背诵
2945	1317	笔画
2946	1318	比喻（比如）
2947	1319	标题
2951	1320	大纲
2953	1321	段落
2954	1322	逗号
2955	1323	顿号
2958	1324	合格
2963	1325	进修
2964	1326	句号
2965	1327	惊叹号
2968	1328	课间
2970	1329	练习（复习）
2973	1330	录取
2974	1331	冒号
2981	1332	省略号（省略）
2983	1333	文凭
2984	1334	问题
2985	1335	问号
2989	1336	学位
2993	1337	作业
2994	1338	体育
2995	1339	运动
3005	1340	赛跑
3008	1341	竞走
3010	1342	滑冰
3011	1343	篮球
3016	1344	铅球
3017	1345	铁饼
3021	1346	双杠
3022	1347	高低杠
3025	1348	吊环
3029	1349	网球
3032	1350	游戏（玩）
3036	1351	生理
3037	1352	身体
3038	1353	脑
3040	1354	耳
3044	1355	喉
3046	1356	胸
3048	1357	腹
3050	1358	胃
3053	1359	肝
3057	1360	乳房
3058	1361	神经
3059	1362	血（血液）
3062	1363	血压
3063	1364	粪
3068	1365	咳嗽
3069	1366	咯血
3071	1367	发炎
3074	1368	失眠
3076	1369	浮肿
3078	1370	烫伤
3080	1371	消化
3082	1372	感冒
3084	1373	抽搐
3086	1374	白喉
3088	1375	疟疾
3090	1376	冻疮
3093	1377	伤寒
3097	1378	关节炎
3098	1379	中耳炎
