actual_gloss,normalized_gloss
ΓΥΝΑΙΚΑ,WOMAN
ΓΥΝΑΙΚΟΛΟΓΟΣ,GYNECOLOGIST
ΔΕΗ,D+E+I
ΔΕΝ_ΕΧΩ,I_HAVE_NOT
ΔΕΝ_ΠΕΙΡΑΖΕΙ,NEVERMIND
ΔΕΥΤΕΡΑ,MONDAY
ΔΕΥΤΕΡΟΝ,SECOND_NUMBER
ΔΗΛΗΤΗΡΙΑΣΗ,POISON
ΔΙΑΚΟΠΗ,VACATION
ΔΙΑΡΚΕΙΑ,DURATION
ΔΙΑΡΡΟΙΑ,DIARRHEA
ΔΙΑΤΗΡΩ,KEEP
ΔΙΚΑΙΟΛΟΓΙΑ,JUSTIFICATION
ΔΙΚΑΣΤΗΡΙΟ,COURT
ΔΙΚΟ_ΣΟΥ,YOURS
ΔΙΚΟ_ΤΟΥ,HIS
ΔΟΥΛΕΥΩ,WORK
ΔΡΟΜΟΣ,ROAD
ΕΒΔΟΜΑΔΕΣ,WEEK
ΕΓΙΝΕ,DONE
ΕΓΚΡΙΣΗ,APPROVAL
ΕΓΩ(1),ME
ΕΓΩ(2),ME
ΕΓΩ(3),ME
ΕΓΩ_ΔΙΝΩ_ΕΣΕΝΑ,I_GIVE_YOU
ΕΓΩ_ΠΗΓΑΙΝΩ,I_GO
ΕΓΩ_ΦΕΡΝΩ_ΕΣΕΝΑ,I_BRING_YOU
ΕΔΩ,HERE
ΕΘΝΙΚΗ,COUNTRY
ΕΙΔΙΚΟ,SPECIAL
ΕΙΣΑΓΓΕΛΕΑΣ,PROSECUTOR
ΕΚΕΙ,THERE
ΕΚΤΥΠΩΝΩ,PRINT
ΕΛΕΓΧΩ,CHECK
ΕΜΕΙΣ,WE
ΕΜΕΤΟΣ,VOMIT
ΕΝΗΜΕΡΩΝΩ_ΕΣΕΝΑ,I_INFORM_YOU
ΕΝΟΧΛΩ_ΕΣΕΝΑ,I_BOTHER_YOU
ΕΝΣΗΜΑ,STAMP
ΕΝΤΑΞΕΙ,OKAY
ΕΝΤΟΛΗ,MANDATE
ΕΞΑΦΑΝΙΖΟΜΑΙ,DISAPPEAR
ΕΞΕΤΑΣΗ,EXAMINATION
ΕΞΟΦΛΗΣΗ,PAYMENT
ΕΞΥΠΗΡΕΤΩ,SERVE
ΕΞΩΤΕΡΙΚΟ,ABROAD
ΕΠΙΔΟΜΑ,ALLOWANCE
ΕΠΙΤΡΟΠΗ,COMMISSION
ΕΡΧΕΤΑΙ_ΣΕ_ΜΕΝΑ,IT_COME_TO_ME
ΕΣΕΙΣ_ΟΙ_ΔΥΟ,YOU_TWO
ΕΣΥ,YOU
ΕΣΥ_ΔΙΝΩ_ΕΜΕΝΑ,YOU_GIVE_ME
ΕΣΥ_ΣΥΖΗΤΑΩ_ΑΥΤΟΝ,YOU_TALK_HIM
ΕΤΟΙΜΟ,READY
ΕΥΘΥΝΗ,RESPONSIBILITY
ΕΥΡΩ,EURO
ΕΥΧΑΡΙΣΤΩ,THANK_YOU
ΕΦΟΡΙΑ,TAX_OFFICE
ΕΧΩ,HAVE
ΖΑΛΙΖΟΜΑΙ,DIZZY
Η,THE
ΗΜΕΡΑ,DAY
ΗΜΕΡΑ_ΤΡΕΙΣ,THREE_DAYS
ΗΣΥΧΙΑ,QUIET
ΘΕΛΩ,WANT
ΙΔΙΟΚΤΗΤΗΣ,OWNER
ΙΚΑ(Δ.Α.),I+K+A
ΙΜΕΙ(Δ.Α.),I+M+E+I
ΙΣΤΟΣΕΛΙΔΑ,WEBPAGE
ΚΑΙΝΟΥΡΙΟ,NEW
ΚΑΛΑ_ΔΕΝ,BAD
ΚΑΛΟ,GOOD
ΚΑΝΟΝΙΚΑ,NORMALLY
ΚΑΠΟΙΟΣ,SOMEONE
ΚΑΤΑΓΓΕΛΙΑ,COMPLAINT
ΚΑΤΑΛΑΒΑΙΝΩ,UNDERSTAND
ΚΑΤΑΧΩΡΩ,REGISTER
ΚΑΤΩ(1),DOWN
ΚΑΤΩ(2),DOWN
ΚΑΦΕΣ,COFFEE
ΚΕΠΑ(Δ.Α.),K+E+P+A
ΚΙΝΗΤΟ,PHONE
ΚΛΕΒΩ(1),STEAL
ΚΛΕΒΩ(2)_ΕΜΕΝΑ,STEAL_ME
ΚΛΕΒΩ(2)_ΕΣΕΝΑ,STEAL_YOU
ΚΟΙΛΙΑ,BELLY
ΚΟΚΚΙΝΟ(1),RED
ΚΟΚΚΙΝΟ(2),RED
ΚΟΝΤΟ,SHORT
ΚΟΤΟΠΟΥΛΟ,CHICKEN
ΚΡΑΤΗΣΗ,RESERVATION
ΚΤΕΟ,K+T+E+O
ΚΥΒΙΚΑ,CUBIC
ΚΥΡΙΑΚΗ,SUNDAY
ΚΩΦΟΣ,DEAF
ΛΕΠΤΟΜΕΡΕΙΕΣ,DETAILS
ΛΙΓΟ,LITTLE
ΛΟΓΑΡΙΑΣΜΟΣ,ACCOUNT
ΛΟΓΩ,REASON
ΜΑΓΑΖΙ,SHOP
ΜΑΖΙ,TOGETHER
ΜΑΚΑΡΟΝΙΑ,SPAGHETTI
ΜΑΛΛΙΑ,HAIR
ΜΑΝΙΤΑΡΙΑ,MUSHROOM
ΜΑΡΤΥΡΑΣ,WITNESS
ΜΕΘΑΥΡΙΟ,DAY_AFTER_TOMORROW
ΜΕΛΟΣ,MEMBER
ΜΕΣΗΜΕΡΙ,NOON
ΜΕΤΑ,POST
ΜΕΤΑΦΕΡΩ,CARRYOVER
ΜΕΧΡΙ,UNTIL
ΜΗ,NOT
ΜΗΝΑΣ,MONTH
ΜΗΤΕΡΑ,MOTHER
ΜΗΧΑΝΗ,MACHINE
ΜΟΝΟ,ONLY
ΜΠΛΟΥΖΑ,BLOUSE
ΜΠΟΡΩ,CAN
ΜΩΡΟ,BABY
ΝΑ,TO
ΝΑΙ,YES
ΝΕΡΟ,WATER
ΝΙΩΘΩ,FEEL
ΝΟΕΜΒΡΙΟΣ,NOVEMBER
ΝΟΣΟΚΟΜΕΙΟ,HOSPITAL
ΝΩΡΙΣ,EARLY
ΞΑΝΘΟ,BLONDE
ΞΕΡΩ,KNOW
ΟΚ,O+K
ΟΛΑ,ALL
ΟΜΑΔΑ,CLUB
ΟΝΟΜΑ,NAME
ΟΠΛΟ,WEAPON
ΟΡΙΣΤΕ,HERE_IT_IS
ΟΣΠΡΙΑ,LEGUME
ΟΧΙ,NO
ΠΑ,P+A
ΠΑΘΑΙΝΩ,SUFFER
ΠΑΘΟΛΟΓΟΣ,PATHOLOGIST
ΠΑΙΡΝΩ,GET
ΠΑΛΙ,AGAIN
ΠΑΛΙΟ,OLD
ΠΑΝΤΕΛΟΝΙ,TROUSER
ΠΑΠΟΥΤΣΙΑ,SHOE
ΠΑΡΑΒΟΛΟ,PAYMENT
ΠΑΡΑΚΑΛΩ,PLEASE
ΠΑΡΑΛΙΑ,BEACH
ΠΑΡΑΠΟΝΟ,COMPLAINT
ΠΑΡΕΛΘΟΝ_ΠΡΟΣΦΑΤΟ,RECENT_PAST
ΠΕΜΠΤΟΝ,FIFTH
ΠΕΡΙΓΡΑΦΩ,DESCRIBE
ΠΕΡΙΜΕΝΩ,WAIT
ΠΕΡΙΟΔΟΣ,PERIOD
ΠΗΓΑΙΝΩ,I_GO
ΠΙΝΩ,DRINK
ΠΛΗΡΩΝΩ,PAY
ΠΟΙΟΣ,WHO
ΠΟΛΥ,VERY
ΠΟΝΑΩ,HURT
ΠΟΣΟ,HOW_MUCH
ΠΟΤΕ,NEVER
ΠΟΥ,WHERE
ΠΡΕΠΕΙ,SHOULD
ΠΡΙΝ,BEFORE
ΠΡΟΒΛΗΜΑ,PROBLEM
ΠΡΟΝΟΙΑ,PROVIDENCE
ΠΡΟΣ,TO
ΠΡΩΙ,MORNING
ΠΡΩΤΗ_ΦΟΡΑ,FIRST_TIME
ΠΡΩΤΟΝ,FIRST
ΠΥΡΕΤΟΣ,FEVER
ΠΩΣ,HOW
ΡΑΝΤΕΒΟΥ,APPOINTMENT
ΡΟΥΧΑ,DRESS
ΡΥΖΙ,RICE
ΡΩΤΑΕΙ_ΕΜΕΝΑ,ASK_ME
ΣΑΒΒΑΤΟ,SATURDAY
ΣΗΜΕΡΑ,TODAY
ΣΚΟΠΟΒΟΛΗ,SHOOT
ΣΠΙΤΙ,HOME
ΣΠΟΡ,SPORT
ΣΠΟΥΔΑΖΩ,STUDY
ΣΤΕΛΝΩ_ΜΗΝΥΜΑ_ΕΣΕΝΑ,I_MESSAGE_YOU
ΣΤΟΙΧΕΙΑ,DATA
ΣΤΟΜΑΧΙ,STOMACH
ΣΤΥΛΟ,PEN
ΣΥΜΜΕΤΕΧΩ,PARTICIPATE
ΣΥΜΠΛΗΡΩΝΩ,FILL
ΣΥΝ,PLUS
ΣΥΝΕΧΕΙΑ,CONTINUOUS
ΣΦΡΑΓΙΔΑ,STAMP
ΤΑΞΙΔΙ,JOURNEY
ΤΑΥΤΟΤΗΤΑ,ID_CARD
ΤΑΧΥΔΡΟΜΕΙΟ,POST_OFFICE
ΤΕΛΕΙΑ,PERFECT
ΤΕΛΗ_ΚΥΚΛΟΦΟΡΙΑΣ,TRAFFIC_FEES
ΤΕΛΟΣ,END
ΤΕΤΑΡΤΟΝ,FOURTH
ΤΖΙΝ,ALCOHOL
ΤΗΛΕΦΩΝΩ,PHONE
ΤΙ,WHAT
ΤΙΠΟΤΑ,NOTHING
ΤΟΠΟΘΕΤΩ,PLACE
ΤΡΑΠΕΖΑ,BANK
ΤΡΑΠΕΖΙ,TABLE
ΤΡΕΧΩ,RUN
ΤΡΙΤΟΝ,THIRD
ΤΡΟΠΟΣ,WAY
ΤΡΩΩ,EAT
ΤΣΑΝΤΑ,BAG
ΤΩΡΑ,NOW
ΥΓΕΙΑ,HEALTH
ΥΠΑΛΛΗΛΟΣ,EMPLOYEE
ΥΠΕΡΗΧΟΣ_ΚΟΙΛΙΑ,ABDOMINAL_ULTRASOUND
ΥΠΟΓΡΑΦΗ,SIGNATURE
ΦΑΓΗΤΟ,FOOD
ΦΑΙΝΕΤΑΙ,APPEAR
ΦΑΡΜΑΚΟ,MEDICINE
ΦΑΣΑΡΙΑ,TROUBLE
ΦΙΛΟΣ,FRIEND
ΦΟΙΤΗΤΗΣ,STUDENT
ΦΟΡΕΑΣ,CARRIER
ΦΡΟΥΤΑ,FRUIT
ΦΤΩΧΟΣ,POOR
ΦΥΣΙΚΑ,NATURAL
ΦΩΤΟΓΡΑΦΙΑ,PHOTOGRAPH
ΦΩΤΟΤΥΠΙΑ,PHOTOCOPY
ΧΑΝΩ,LOSE
ΧΑΠΙ,PILL
ΧΑΡΤΙ,PAPER
ΧΑΡΤΙΑ,PAPERS
ΧΟΡΤΑ,GRASS
ΧΡΕΙΑΖΟΜΑΙ,NEED
ΧΡΟΝΟΣ,YEAR
ΧΡΟΝΩΝ,YEARS
ΨΑΡΙ,FISH
ΨΑΧΝΩ,LOOK
ΨΗΛΟΣ,TALL
ΩΡΑ,TIME
