actual_gloss,normalized_gloss
brother,BROTHER
brown,BROWN
brush teeth,BRUSH_TEETH
bug,BUG
build,BUILD
bus,BUS
business,BUSINESS
busy,BUSY
but,BUT
butter,BUTTER
butterfly,BUTTERFLY
buy,BUY
bye,BYE
cabinets,CABINET
cafeteria,CAFETERIA
cake,CAKE
calculus,CALCULUS
calendar,CALENDAR
camera,CAMERA
camp,CAMP
camping,CAMP
can,CAN
canada,CANADA
candle,CANDLE
candy,CANDY
can't,CANNOT
car,CAR
careful,CAREFUL
carrot,CARROT
cashier,CASHIER
cat,CAT
celebrate,CELEBRATE
cent,CENT
center,CENTER
center school,CENTER_SCHOOL
cereal,CEREAL
challenge,CHALLENGE
change,CHANGE
chat,CHAT
cheap,CHEAP
check,CHECK
cheese,CHEESE
chef,CHEF
chemistry,CHEMISTRY
cherry,CHERRY
child,CHILD
children,CHILD
china,CHINA
chocolate,CHOCOLATE
christmas,CHRISTMAS
church,CHURCH
city,CITY
class,CLASS
classroom,CLASSROOM
clock,CLOCK
close,CLOSE
closet,CLOSET
clothes,CLOTH
cloud,CLOUD
cochlear implant,COCHLEAR_IMPLANT
coffee,COFFEE
cold,COLD
college,COLLEGE
color,COLOR
come,COME
come on,COME_ON
comfortable,COMFORTABLE
complain,COMPLAIN
computer,COMPUTER
confused,CONFUSE
cook,COOK
cookie,COOKIE
cool,COOL
copy,COPY
copy me,COPY_ME
corn,CORN
cost,PRICE
couch,COUCH
cough,COUGH
counselor,COUNSELOR
country,COUNTRY
cousin,COUSIN
cow,COW
cracker,CRACKER
crazy,CRAZY
credit card,CREDIT_CARD
cry,CRY
cuba,CUBA
culture,CULTURE
cup,CUP
curious,CURIOUS
curly hair,CURLY_HAIR
curtains,CURTAIN
cute,CUTE
dance,DANCE
dark,DARK
date,DATE
daughter,DAUGHTER
day,DAY
deaf,DEAF
decide,DECIDE
deer,DEER
delicious,DELICIOUS
denmark,DENMARK
dentist,DENTIST
depressed,DEPRESS
dessert,DESSERT
destroy,DESTROY
dictionary,DICTIONARY
die,DEATH
dining room,DINING_ROOM
dinner,DINNER
dirty,DIRTY
disappear,DISAPPEAR
disappointed,DISAPPOINT
discuss,DISCUSS
disgusted,DISGUST
divorce,DIVORCE
dizzy,DIZZY
do,DO
doctor,DOCTOR
dog,DOG
dollar,DOLLAR
dolphin,DOLPHIN
door,DOOR
dorm,DORM
down,DOWN
draw,DRAW
dress,DRESS
dresser,DRESSER
drink,DRINK
drive,DRIVE
drop,DROP
dry,DRY
duck,DUCK
due,DUE
dumb,DUMB
during,DURE
early,EARLY
earn,EARN
ears,EAR
earthquake,EARTHQUAKE
east,EAST
easter,EASTER
easy,EASY
eat,EAT
economics,ECONOMY
education,EDUCATION
egg,EGG
egypt,EGYPT
eight,EIGHT
eighteen,EIGHTEEN
elementary school,ELEMENTARY_SCHOOL
elephant,ELEPHANT
elevator,ELEVATOR
eleven,ELEVEN
email,EMAIL
embarrassed,EMBARRASS
emergency,EMERGENCY
emotional,EMOTIONAL
engaged,ENGAGED
engineer,ENGINEER
engineering,ENGINEERING
english,ENGLISH
enjoy,ENJOY
envelope,ENVELOPE
equal,EQUAL
europe,EUROPE
every afternoon,EVERY_AFTERNOON
every morning,EVERY_MORNING
every night,EVERY_NIGHT
every week,EVERY_WEEK
every year,EVERY_YEAR
everyday,EVERYDAY
exam,EXAM
example,EXAMPLE
excited,EXCITE
excuse me,EXCUSE_ME
exercise,EXERCISE
expensive,EXPENSIVE
explain,EXPLAIN
eye contact,EYE_CONTACT
eyes,EYE
face,FACE
fail,FAIL
family,FAMILY
famous,FAMOUS
far,FAR
fast,FAST
fat,FAT
father,FATHER
favorite,FAVORITE
feel,FEEL
fence,FENCE
few,FEW
fifteen,FIFTEEN
fight,FIGHT
find,FIND
fine,FINE
fingerspell,FINGERSPELL
finish,FINISH
finland,FINLAND
fire,FIRE
firefighter,FIREFIGHTER
first,FIRST
fish,FISH
fishing,FISHING
five,FIVE
fix,FIX
flag,FLAG
flat tire,FLAT_TIRE
flirt,FLIRT
floor,FLOOR
flower,FLOWER
fly,FLY
focus,FOCUS
follow,FOLLOW
football,FOOTBALL
for,FOR
forget,FORGET
four,FOUR
fourteen,FOURTEEN
fox,FOX
france,FRANCE
france fries,FRANCE_FRIES
free,FREE
freeway,FREEWAY
freeze,FREEZE
freeze cream,FREEZE_CREAM
freshman,FRESHMAN
friday,FRIDAY
friend,FRIEND
friendly,FRIENDLY
frog,FROG
from,FROM
front,FRONT
fruit,FRUIT
frustrated,FRUSTRATE
full,FULL
fun,FUN
funny,FUNNY
furniture,FURNITURE
future,FUTURE
gallaudet,GALLAUDET
game,GAME
garage,GARAGE
gasoline,GASOLINE
geometry,GEOMETRY
germany,GERMANY
get,GET
get up,GET_UP
giraffe,GIRAFFE
girl,GIRL
girlfriend,GIRLFRIEND
give,GIVE
glass,GLASS
glasses,GLASS
glue,GLUE
go,GO
go to,GO_TO
goat,GOAT
gold,GOLD
golf,GOLF
gone,GONE
good,GOOD
good afternoon,GOOD_AFTERNOON
good morning,GOOD_MORNING
gossip,GOSSIP
government,GOVERNMENT
graduate,GRADUATE
grandfather,GRANDFATHER
grandmother,GRANDMOTHER
grapes,GRAPE
grass,GRASS
gray,GRAY
greece,GREECE
green,GREEN
grey,GREY
grocery store,GROCERY_STORE
group,GROUP
guilty,GUILTY
gum,GUM
gym,GYM
gymnastics,GYMNASTIC
hair,HAIR
half,HALF
half hour,HALF_HOUR
halloween,HALLOWEEN
hallway,HALLWAY
hamburger,HAMBURGER
hanukkah,HANUKKAH
happen,HAPPEN
happy,HAPPY
hard,HARD
hard of hearing,HARD_OF_HEAR
hashtag,HASHTAG
hat,HAT
hate,HATE
have,HAVE
he,HE
head,HEAD
headache,HEADACHE
health,HEALTH
hear,HEAR
hearing,HEAR
hearing help,HEARING_HELP
heart,HEART
hello,HELLO
help,HELP
here,HERE
hi,HI
hid,HID
high school,HIGH_SCHOOL
hike,HIKE
hill,HILL
hippo,HIPPO
his,HIS
history,HISTORY
hit,HIT
hockey,HOCKEY
hoddog,HODDOG
hold on,HOLD_ON
holland,HOLLAND
home,HOME
homework,HOMEWORK
hong kong,HONG_KONG
horse,HORSE
hospital,HOSPITAL
hot,HOT
hotel,HOTEL
hour,HOUR
house,HOUSE
how,HOW
how are you,HOW_ARE_YOU
how_many,HOW_MANY
humble,HUMBLE
hungry,HUNGRY
hurry,HURRY
hurt,HURT
husband,HUSBAND
i,I
i love you,I_LOVE_YOU
ice-skating,ICE_SKATE
if,IF
important,IMPORTANT
in,IN
india,INDIA
inform,INFORM
innocent,INNOCENT
interesting,INTERESTING
internet,INTERNET
interpreter,INTERPRETER
intersection,INTERSECT
introduce,INTRODUCE
iran,IRAN
iraq,IRAQ
ireland,IRELAND
island,ISLAND
israel,ISRAEL
italy,ITALY
jacket,JACKET
jail,JAIL
jam,JAM
janitor,JANITOR
japan,JAPAN
jealous,JEALOUS
join,JOIN
judge,JUDGE
juice,JUICE
jump,JUMP
junior,JUNIOR
ketchup,KETCHUP
key,KEY
kiss,KISS
kitchen,KITCHEN
knife,KNIFE
know,KNOW
korea,KOREA
lake,LAKE
lamp,LAMP
language,LANGUAGE
last,LAST
last month,LAST_MONTH
last week,LAST_WEEK
last year,LAST_YEAR
late,LATE
later,LATER
laugh,LAUGH
laundry,LAUNDRY
law,LAW
lawyer,LAWYER
lazy,LAZY
lead,LEAD
learn,LEARN
leave,LEAVE
left,LEFT
lemon,LEMON
less than,LESS_THAN
letter,LETTER
lettuce,LETTUCE
librarian,LIBRARIAN
library,LIBRARY
lie,LIE
light,LIGHT
like,LIKE
line up,LINE_UP
lion,LION
list,LIST
listen,LISTEN
live,LIVE
living room,LIVING_ROOM
loan,LOAN
lobster,LOBSTER
locker,LOCKER
lonely,LONELY
long,LONG
long ago,LONG_AGO
long hair,LONG_HAIR
look at,LOOK_AT
look like,LOOK_LIKE
lost,LOST
loud,LOUD
lousy,LOUSY
love,LOVE
love it,LOVE_IT
lunch,LUNCH
mad,MAD
magazine,MAGAZINE
mainstreamed,MAINSTREAM
major,MAJOR
make,MAKE
man,MAN
manager,MANAGER
many,MANY
march,MARCH
marry,MARRY
match,MATCH
math,MATH
maybe,MAYBE
me,ME
mean,MEAN
meaning,MEAN
measure,MEASURE
meat,MEAT
mechanic,MECHANIC
medicine,MEDICINE
medium,MEDIUM
meet,MEET
meeting,MEETING
melon,MELON
metal,METAL
mexico,MEXICO
microwave,MICROWAVE
midnight,MIDNIGHT
milk,MILK
minus,MINUS
minute,MINUTE
mischievous,MISCHIEVOUS
mix,MIX
monday,MONDAY
money,MONEY
monkey,MONKEY
month,MONTH
moon,MOON
more,MORE
more than,MORE_THAN
morning,MORNING
most,MOST
mother,MOTHER
motivated,MOTIVATE
motorcycle,MOTORCYCLE
mountain,MOUNTAIN
mouse,MOUSE
mouth,MOUTH
movie,MOVIE
museum,MUSEUM
mushroom,MUSHROOM
music,MUSIC
musician,MUSICIAN
mustache,MUSTACHE
my,MY
name,NAME
near,CLOSE
need,NEED
nephew,NEPHEW
nervous,NERVOUS
never,NEVER
new,NEW
newspaper,NEWSPAPER
next,NEXT
next week,NEXT_WEEK
next year,NEXT_YEAR
nice,GOOD
nice to meet you,NICE_TO_MEET_YOU
niece,NIECE
night,NIGHT
nine,NINE
nineteen,NINETEEN
no,NO
noon,NOON
north,NORTH
norway,NORWAY
nose,NOSE
nosy,NOSY
not,NOT
not know,NOT_KNOW
not like,NOT_LIKE
not understand,NOT_UNDERSTAND
not want,NOT_WANT
not yet,NOT_YET
nothing,NOTHING
now,NOW
number,NUMBER
nurse,NURSE
nuts,NUT
ocean,OCEAN
office,OFFICE
often,OFTEN
oh i see,OH_I_SEE
ok,OK
old,OLD
one,ONE
onion,ONION
only,ONLY
open,OPEN
orange,ORANGE
our,OUR
outside,OUTSIDE
oversleep,OVERSLEEP
paint,PAINT
pancake,PANCAKE
pants,PANT
paper,PAPER
parents,PARENT
partner,PARTNER
party,PARTY
pass,PASS
past,PAST
pay,PAY
peach,PEACH
pear,PEAR
pencil,PENCIL
people,PEOPLE
pepper,PEPPER
perfect,PERFECT
personality,PERSONALITY
pet,PET
philippines,PHILIPPINES
phone,PHONE
photographer,PHOTOGRAPHER
photography,PHOTOGRAPHY
physics,PHYSICS
piano,PIANO
picture,PICTURE
pie,PIE
pig,PIG
pillow,PILLOW
pineapple,PINEAPPLE
pink,PINK
pizza,PIZZA
plan,PLAN
plate,PLATE
play,PLAY
play cardss,PLAY_CARDSS
please,PLEASE
plus,PLUS
poland,POLAND
police,POLICE
polite,POLITE
pool,POOL
poor,POOR
popcorn,POPCORN
portugal,PORTUGAL
potato,POTATO
pow,POW
practice,PRACTICE
pregnant,PREGNANT
principal,PRINCIPAL
proud,PROUD
pshaw,PSHAW
psychologist,PSYCHOLOGIST
psychology,PSYCHOLOGY
puerto rico,PUERTO_RICO
pull,PULL
purple,PURPLE
push,PUSH
put_down,PUT_DOWN
quarter,QUARTER
question,QUESTION
quiet,QUIET
rabbit,RABBIT
radio,RADIO
rain,RAIN
rainbow,RAINBOW
read,READ
ready,READY
red,RED
refrigerator,REFRIGERATOR
refuse,DENY
relationship,RELATIONSHIP
remember,REMEMBER
research,RESEARCH
rest,REST
restaurant,RESTAURANT
retire,RETIRE
rich,RICH
right,RIGHT
ring,RING
river,RIVER
rock,ROCK
roommate,ROOMMATE
rubber,RUBBER
rude,RUDE
run,RUN
russia,RUSSIA
sad,SAD
salad,SALAD
salt,SALT
same,SAME
sandwich,SANDWICH
saturday,SATURDAY
save,SAVE
scarf,SCARF
schedule,SCHEDULE
school,SCHOOL
science,SCIENCE
scientist,SCIENTIST
scissors,SCISSOR
scotland,SCOTLAND
screwdriver,SCREWDRIVER
search,SEARCH
secretary,SECRETARY
see,SEE
seem,SEEM
sell,SELL
send,SEND
senior,SENIOR
separate,SEPARATE
serious,SERIOUS
seven,SEVEN
seventeen,SEVENTEEN
several,SEVERAL
sew,SEW
shark,SHARK
sheep,SHEEP
shelves,SHELF
shirt,SHIRT
shock,SHOCK
shoes,SHOE
shop,SHOP
short,SHORT
short hair,SHORT_HAIR
show,SHOW
shower,SHOWER
shrimp,SHRIMP
shy,SHY
sick,SICK
sign,SIGN
sign language,SIGN_LANGUAGE
silly,SILLY
silver,SILVER
since,SINCE
single,SINGLE
sink,SINK
sister,SISTER
sit,SIT
six,SIX
sixteen,SIXTEEN
skateboard,SKATEBOARD
ski,SKI
skirt,SKIRT
sleep,SLEEP
sleepy,SLEEPY
slide,SLIDE
slow,SLOW
small,SMALL
smart,SMART
snake,SNAKE
sneeze,SNEEZE
snob,SNOB
snow,SNOW
snowboard,SNOWBOARD
so,SO
soap,SOAP
soccer,SOCCER
socks,SOCK
soda,SODA
some,SOME
sometimes,SOMETIME
son,SON
soon,SOON
sophomore,SOPHOMORE
sore throat,SORE_THROAT
sorry,SORRY
soup,SOUP
south,SOUTH
south africa,SOUTH_AFRICA
south america,SOUTH_AMERICA
spaghetti,SPAGHETTI
spain,SPAIN
spanish,SPANISH
speech,SPEECH
spider,SPIDER
spoon,SPOON
sports,SPORT
spring,SPRING
spring up,SPRING_UP
squirrel,SQUIRREL
stairs,STAIR
stamp,STAMP
stand,STAND
star,STAR
start,START
stay,STAY
steal,STEAL
step,STEP
still,STILL
stop,STOP
stove,STOVE
strange,STRANGE
strawberry,STRAWBERRY
street,STREET
strict,STRICT
strong,STRONG
stubborn,STUBBORN
stuck,STUCK
student,STUDENT
student center,STUDENT_CENTER
study,STUDY
stupid,STUPID
subway,SUBWAY
sugar,SUGAR
summer,SUMMER
sun,SUN
sunday,SUNDAY
surfing,SURF
surprise,SURPRISE
sweater,SWEATER
sweden,SWEDEN
sweep,SWEEP
sweet,SWEET
sweetheart,SWEETHEART
swim,SWIM
swimming,SWIM
swing,SWING
switzerland,SWITZERLAND
table,TABLE
taiwan,TAIWAN
take,TAKE
take care,TAKE_CARE
take off,TAKE_OFF
talk,TALK
tall,TALL
tape,TAPE
tea,TEA
teach,TEACH
teacher,TEACHER
team,TEAM
television,TELEVISION
tell,TELL
ten,TEN
tend,TEND
tennis,TENNIS
thanks,THANK
thanksgiving,THANKSGIVING
that,THAT
that one,THAT_ONE
theater,THEATER
their,THEIR
therapy,THERAPY
there,THERE
they,THEY
thin,THIN
think,THINK
thirsty,THIRSTY
thirteen,THIRTEEN
three,THREE
throw,THROW
thursday,THURSDAY
ticket,TICKET
tie,TIE
tiger,TIGER
time,TIME
tired,TIRE
toast,TOAST
today,TODAY
together,TOGETHER
tomato,TOMATO
tomorrow,TOMORROW
total,TOTAL
towel,TOWEL
traffic,TRAFFIC
train,TRAIN
transfer,TRANSFER
travel,TRAVEL
tree,TREE
trigonometry,TRIGONOMETRY
truck,TRUCK
tuesday,TUESDAY
turkey,TURKEY
turtle,TURTLE
twelve,TWELVE
twenty,TWENTY
twins,TWIN
two,TWO
ugly,UGLY
umbrella,UMBRELLA
uncle,UNCLE
understand,UNDERSTAND
underwear,UNDERWEAR
university,UNIVERSE
up,UP
upset,UPSET
use,USE
vacation,VACATION
vacuum,VACUUM
vegetable,VEGETABLE
vice president,VICE_PRESIDENT
vietnam,VIETNAM
visit,VISIT
volleyball,VOLLEYBALL
vomit,VOMIT
wait,WAIT
waiter,WAITER
walk,WALK
wall,WALL
want,WANT
warm,HOT
wash face,WASH_FACE
watch,WATCH
water,WATER
watermelon,WATERMELON
we,WE
weak,WEAK
weather,WEATHER
wedding,MARRIAGE
wednesday,WEDNESDAY
week,WEEK
weekend,WEEKEND
welcome,WELCOME
west,WEST
wet,WET
whale,WHALE
what,WHAT
what's up,WHAT'S_UP
when,WHEN
where,WHERE
which,WHICH
white,WHITE
who,WHO
why,WHY
wife,WIFE
win,WIN
window,WINDOW
wine,WINE
winter,WINTER
with,WITH
woman,WOMAN
wood,WOOD
work,WORK
world,WORLD
worm,WORM
worry,WORRY
wow,WOW
write,WRITE
wrong,WRONG
year,YEAR
yearbook,YEARBOOK
yellow,YELLOW
yes,YES
yesterday,YESTERDAY
you,YOU
young,YOUNG
your,YOUR
false,FALSE
true,TRUE
