actual_gloss,normalized_gloss
启示,REVELATION
敲,KNOCK
惹,PROVOKE
任命,APPOINTMENT
揉,RUB
蠕动,WRIGGLE
撒,SPREAD
散步,WALK
杀,KILL
商量（商议、商讨）,CONSULT
识别（辨别）,IDENTIFY
示范,DEMONSTRATE
摔,FALL
涮,RINSE
逃跑,ESCAPE
提倡,PROMOTE
提供,SUPPLY
提醒,REMIND
提议,PROPOSAL
躺,LIE
挑选,PICK
同意,AGREE
喂,HEY
削,CUT
镶嵌,MOSAIC
欣赏,APPRECIATE
许愿,PROMISE
宣布,ANNOUNCE
寻找,SEARCH
腌,MARINATE
沿着,ALONG
掩盖,COVER
预测,PREDICT
遭受,SUFFER
瞻仰,REVERE
蘸,DIP
责备,BLAME
证明（证实）,PROVE
征求,SEEK
支援,SUPPORT
工作,WORK
休息（休养）,REST
业余,AMATEUR
上班,WORK
下班,FINISH_WORK
办公,OFFICE
早退,LEAVE_EARLY
迟到,LATE
离休,RETIRE
值班,WORK_SHIFT
便条,NOTE
岗位,POST
解雇（解聘）,DISMISS
晋升（晋级）,PROMOTION
考勤,ATTENDANCE
请假,ASK_FOR_LEAVE
窝工,WORKER
项目,PROJECT
针对,AGAINST
值勤,ON_DUTY
生活,LIFE
恋爱,LOVE
对象,OBJECT
分居,LIVE_APART
睡觉,SLEEP
刮脸,SHAVE
洗澡,BATH
梳头,COMB
回家,GO_HOME
缝,MEND
缝纫,SEW
切,CUT
煎,FRY
炒,SAUTE
淘米,WASH_RICE
晒,SHOW
忙,BUSY
累（疲倦）,TIRED
菜谱,MENU
伺候,SERVE
洞房,BRIDAL_CHAMBER
恩爱,AFFECTION
居住,LIVE
酒吧,BAR
瞌睡,NAP
聊天,CHAT
美发,HAIRDRESS
牌子,BRAND
品尝,TASTE
社会,SOCIETY
交际,COMMUNICATION
姓名,NAME
年龄,AGE
籍贯,HOMETOWN
请客,DINNER
访问（走访）,VISIT
开会,ATTEND_MEET
会见（接见）,MEET
接头（接触）,CONNECT
约会,DATING
热烈,WARM
冷淡,COLD
欢迎,WELCOME
欢送,FAREWELL
允许,ALLOW
答应,RESPOND
要求,REQUIRE
需要,NEED
接近,NEAR
礼貌,POLITE
礼物,GIFT
酬谢,REWARD
捐赠（募捐）,DONATE
关系,RELATION
推荐,RECOMMEND
委托,ENTRUST
介绍,INTRODUCE
打听,INQUIRE
估计,ESTIMATE
意思,MEAN
鼓励,ENCOURAGE
帮助,HELP
照顾,TAKE_CARE_OF
保留,RESERVE
勉强,RELUCTANTLY
竞争,COMPETE
完成,FINISH
谦让（客气）,KIND
优待,PREFERENTIAL_TREATMENT
参考,REFERENCE
考验,TEST
克服,OVERCOME
暗示,HINT
侮辱,INSULT
欺骗,CHEAT
报复,REVENGE
完了,FINISHED
请,PLEASE
谢谢,THANKS
称赞,COMMEND
再见,GOODBYE
等候,WAITING
对不起,SORRY
抱歉,FEEL_SORRY
麻烦（动词）,TROUBLE
受累,AFFECTED
辛苦,HARD
庆祝（祝贺）,CELEBRATE
陪,ACCOMPANY
要,WANT
借,BORROW
还（给）,RETURN
晚了,LATE
按时,ON_TIME
一会儿,FOR_A_WHILE
形而上学,METAPHYSICS
意识,CONSCIOUSNESS
意识形态,IDEOLOGY
认识,KNOW
真理,TRUTH
客观,OBJECTIVE
立场,POSITION
形象,IMAGE
范畴（范围、规模）,DOMAIN
静止,STILL
飞跃,LEAP
比较,COMPARE
对立（对抗）,OPPOSITION
统一,UNITE
肯定,AFFIM
相对,RELATIVELY
直接,DIRECT
间接,INDIRECT
具体,SPECIFIC
特殊（特别）,SPECIAL
系统,SYSTEM
主动,INITIATIVE
被动,PASSIVE
心情（情绪）,MOOD
感情,EMOTION
快乐（高兴）,HAPPY
兴奋,EXCITED
希望,HOPE
失望（泄气、灰心）,DISAPPOINTED
麻痹,PARALYSIS
痛恨（恨）,HATE
仇恨,HATRED
爱,LOVE
关心（关怀）,CARING
担心,WORRY
决心,DETERMINATION
雄心,ASPIRATION
壮志,AMBITION
志气,SPIRIT
兴趣（趣味）,INTEREST
思想（想、思考、考虑）,THOUGHT
感觉,FEEL
想念,MISS
纪念,COMMEMORATE
记忆（记住）,REMEMBER
忘记,FORGET
承认,ADMIT
观察,OBSERVE
考察,INSPECT
觉察（发觉）,NOTICE
理解,NOTICE
研究,NOTICE
领会,NOTICE
重视,FOCUS
歧视,DISCRIMINATE
害怕（惧怕、可怕),AFRAID
共产党,COMMUNIST_PARTY
少先队,YOUNG_PIONEERS
中央,CENTRAL
政府,GOVERNMENT
国务院,STATE_GOVERNMENT
机关,ORGANIZATION
机构,MECHANISM
部,DEPARTMENT
局,BUREAU
科,DIVISION
法院,COURT
检察院,PROCURATORATE
单位,UNIT
组织,ORGANIZE
联合会,FEDERATION
主权,SOVEREIGNTY
祖国,MOTHERLAND
国旗,NATIONAL_FLAG
路线,ROUTE
派别,FACTION
集体,COLLECTIVE
革命,REVOLUTION
奋斗,STRUGGLE
解放,LIBERATION
示威（游行）,PARADE
标语,SLOGAN
形势,SITUATION
自由,FREE
言论,SPEECH
安定,STABLE
团结,UNITY
搞活,STIMULATE
独立（自立）,INDEPENDENT
干涉,INTERFERE
抗议,PROTEST
会谈,NEGOTIATION
公约,CONVENTION
协定,AGREEMENT
照会,INQUIRY
辩论,DEBATE
支持,SUPPORT
坚持,INSIST
紧张,NERVOUS
正义,JUSTICE
霸权,HEGEMONY
控制,CONTROL
操纵,MANIPULATE
篡夺,USURP
复辟,RESTORE
分歧,DISAGREEMENT
分裂,SPLIT
瓦解,COLLAPSE
分离,SEPARATE
威胁,THREAT
爆发,BREAK_OUT
粉碎,SMASH
顽抗,RECALCITRANT
伎俩,TRICK
破坏,DESTROY
崩溃,COLLAPSE
边界,BOUNDARY
领域,FIELD
领空,AIRSPACE
人质,HOSTAGE
避难（隐藏、隐蔽）,REFUGE
护照,PASSPORT
超级,SUPER
资产阶级,BOURGEOISIE
社会主义,SOCIALISM
行政,ADMINISTRATIVE
准备,PREPARE
会议,MEETING
参加,JOIN
倡议（建议）,PROPOSE
讨论,DISCUSS
制定（制订）,FORMULATE
表决,VOTE
通过,THROUGH
拥戴,SUPPORT
反对,OPPOSE
质询（质问）,QUESTION
成立（树立、建立）,ESTABLISH
解决,SOLVE
解释,EXPLAIN
处理,DEAL
处分（处罚）,PUNISH
察看,CHECK
执行,IMPLEMENT
保密,KEEP_SECRET
步骤,STEP
措施,MEASURE
调查,SURVEY
清查,VERIFY
整理,ARRANGE
调整,ADJUST
教条,DOGMA
选举（选拔、选择）,ELECTION
档案,FILE
公文,OFFICIAL_DOCUMENT
报名,SIGN_UP
登记,REGISTER
民政,CIVIL_ADMINISTRATION
救济,RELIEF
补助,GRANT
宪法,CONSTITUTION
章程,RULES
条例,REGULATIONS
治安,LAW_AND_ORDER
规则,RULE
准则,GUIDELINES
守则,CODE
非法,ILLEGAL
违法,DO_CRIME
驳斥,REFUTE
口供,TESTIMONY
坦白,FRANK
抗拒,RESIST
从严,STRICT
从宽,LENIENT
挽救,SAVE
检举,REPORT
控告,ACCUSE
搜集,COLLECT
审查,REVIEW
证据,EVIDENCE
根据,ACCORDING_TO
审判,TRIAL
判决,JUDGMENT
故意,DELIBERATELY
贿赂,BRIBE
盗窃,THEFT
谣言（造谣）,RUMOR
诽谤（诬陷）,SLANDER
混淆,OBFUSCATE
首恶,CHIEF_CRIMINAL
胁从,COERCE
镇压,SUPPRESS
逮捕,ARREST
扣留,DETAIN
剥夺,DEPRIVATION
改造,RETROFIT
徒刑,IMPRISONMENT
死刑,DEATH_PENALTY
缓刑,PROBATION
没收（充公）,CONFISCATION
征用,REQUISITION
肃清,ELIMINATE
平反,REHABILITATE
遗产,HERITAGE
国防,NATIONAL_DEFENSE
公安,PUBLIC_SECURITY
战略,STRATEGY
海防,COASTAL_DEFENSE
指挥,COMMAND
包围,SURROUND
射击,SHOOT
射程,RANGE
胜利,VICTORY
占领,OCCUPY
退伍,RETIRE_FROM_ARMY
边防,BORDER_DEFENSE
参谋,STAFF
长征,TO_MARCH
对峙,CONFRONT
封锁,BLOCKADE
警司,POLICE
领章,COLLAR_BADGE
瞄准,AIM
收复,RECOVER
陆军,ARMY
突围,BREAKOUT
巡逻,PATROL
警备（卫戍）,TO_GUARD
警督,INSPECTOR
阵地,POSITION
罪犯,CRIMINAL
部队,FORCE
游击队,GUERRILLA
民兵,MILITIA
将军,MILITARY_GENERAL
校,SCHOOL
士,SCHOLAR
师,DIVISION
旅,TRIP
营,CAMP
士兵,SOLDIER
武器,ARMS
火箭,ROCKET
望远镜,TELESCOPE
航空母舰,AIRCRAFT_CARRIER
武装,ARMED
鱼雷,TORPEDO
装甲车,ARMORED_VEHICLE
民族,NATIONALITY
汉族,HAN_NATIONALITY
满族,MANCHU
藏族,TIBETAN
阿昌族,ACHANG
达翰尔族,DAHAN
傣族,DAI_PEOPLE
德昂族,DE'ANG
俄罗斯族,RUSSIAN
鄂温克族,EVENKI
哈萨克族,KAZAKH
基诺族,JINO
柯尔克孜族,KYRGYZ
拉祜族,LAHU
傈僳族,LISU
纳西族,NAKHI
畲族,SHE_PEOPLE
锡伯族,SIBE_PEOPLE
瑶族,YAO
彝族,YI_PEOPLE
种族,ETHNICITY
宗教,RELIGION
信仰,BELIEF
灵魂,SOUL
祈祷,PRAY
佛教（和尚）,BUDDHISM
基督教（天主教）,CHRISTIANITY
庙宇,TEMPLE
教堂,CHURCH
忏悔,REPENT
地狱,HELL
喇嘛,LAMA
上帝,GOD
神父,PRIEST
天堂,HEAVEN
氏族,CLAN
兼并,ANNEX
变法,POLITICAL_REFORM
同化,ASSIMILATION
猿人,HOMOSAPIEN
甲骨,ORACLE_BONE
墓葬,TOMB
碑,MONUMENT
坟墓,GRAVE
汉朝,HAN_DYNASTY
蜀,SHU_DYNASTY
宋朝,SONG_DYNASTY
唐朝,TANG_DYNASTY
财政,FINANCE
贸易,TRADE
财务,ECONOMIC
建设,CONSTRUCT
股票,STOCK
兑现,CASH
商业,BUSINESS
商店,SHOP
摊贩,STREET_VENDOR
经营,OPERATE
营业,TO_TRADE
投资,INVEST
合同,UNDERTAKE
承包,CONTRACT
价值,VALUE
价格（多少钱）,PRICE
信息,INFORMATION
保险,INSURANCE
货物（东西）,GOODS
资源,RESOURCE
输出,OUTPUT
输入,INJECT
收入,INCOME
买,BUY
便宜,CHEAP
供应,SUPPLY
转让,TRANSFER
消费,CONSUMPTION
分配,DISTRIBUTE
借条,IOU
报销,REIMBURSE
工资,SALARY
奖金,BONUS
人民币,RENMINBI
元（人民币）,YUAN
分（人民币）,CENT
挪用,MISAPPROPRIATION
亏损,LOSS
淘汰,DISUSE
倒闭,COLLAPSE
成本,COST
成批（批量）,BATCH
担保,GUARANTEE
跌价（降价,FALL_IN_PRICE
贩运,TRAFFICKING
浮动,FLOAT
负债（欠债）,DEBT
港币,HONG_KONG_DOLLAR
股息,DIVIDEND
合营,JOINTLY_OWNED
合资,JOINT_VENTURE
回扣,REBATE
毁约,BREAK_AGREEMENT
积压,BACKLOG
假冒,COUNTERFEIT
交易,TRADE
节余,SAVINGS
借债,BORROW
经费,FUNDING
经销,DISTRIBUTION
卢布,RUBLE
马克,MARK
逆差,DEFICIT
倾销,DUMPING
日元,JAPANESE_YEN
审计,AUDIT
实惠,AFFORDABLE
税款,TAX
投机（钻空子）,SPECULATION
脱销,OUT_OF_STOCK
盈利,PROFIT
优惠,DISCOUNT
帐户（户头）,ACCOUNT
账（账目）,BILL
折旧,DEPRECIATION
证券,SECURITIES
支票,CHEQUE
周转,TURNOVER
资金,FUND
资助(赞助,SPONSORED
租,RENT
租出,LEASE
工业,INDUSTRY
行业,PROFESSION
机械（机器）,MACHINERY
冶金（冶炼）,SMELTING
铸造,CASTING
模型,MODEL
能源,ENERGY
造纸,PAPERMAKING
印染,PRINT_AND_DYE
喷漆,SPRAY_PAINT
焊接,WELDING
公司,COMPANY
工厂,FACTORY
车间,WORKSHOP
成品,FINISHED_PRODUCT
产量,YIELD
数量（多少）,QUANTITY
返工,REWORK
误工,DELAY_IN_WORK
工序,PROCESS
操作,OPERATE
试制,TRIAL_PRODUCTION
切削,CUTTING
调度,DISPATCH
配套,PACKAGE
工具,TOOL
专用,DEDICATED
冲床,PUNCHING_MACHINE
锯床,SAWING_MACHINE
电动机（马达）,ELECTRIC_MOTOR
抬钻,LIFT_DRILL
台钳,VISE
仪表,METER
仪器,INSTRUMENT
电脑,COMPUTER
皮带,BELT
齿轮,GEAR
指示灯,INDICATOR_LIGHT
内卡钳,INNER_CALIPER
游标卡尺,VERNIER_CALIPER
钳子,PLIERS
斧子（劈）,AXE
砂纸,SANDPAPER
角尺,SQUARE
钢材,STEEL
生铁,PIG_IRON
涂料,COATING
汽油,GASOLINE
勘探,EXPLORATION
测量,MEASUREMENT
房子,HOUSE
楼梯,STAIR
电梯,ELEVATOR
房梁,BEAM
柱子,PILLAR
墙壁,WALL
门,DOOR
窗,WINDOW
厨房,KITCHEN
水泥,CEMENT
砖,BRICK
道路,ROAD
隧道,TUNNEL
火车,TRAIN
卡车,TRUCK
公共汽车,BUS
三轮车,TRICYCLE
自行车,BIKE
舵,RUDDER
橹,SCULL
立交桥,OVERPASS
码头,PIER
车票,TICKET
电报,TELEGRAPH
信,LETTER
信纸,STATIONERY
挂号信,REGISTERED_MAIL
侨汇,REMITTANCE
农,FARMER
土地,LAND
地窖,CELLAR
粪坑,CESSPIT
种植,PLANT
种子,SEED
插秧,TRANSPLANT_RICE
移植（移栽）,TRANSPLANT
成熟,MATURE
粮食（食物）,GRAIN
粳米,JAPONICA_RICE
籼米,INDICA_RICE
麻,HEMP
蘑菇,MUSHROOM
木耳,FUNGUS
蔬菜,VEGETABLE
白菜,CHINESE_CABBAGE
茭白,MANCHURIAN_WILD_RICE
辣椒,CHILI
菱,WATER_CALTROP
西红柿（番茄）,TOMATO
姜,GINGER
葱,ONION
笋,BAMBOO_SHOOT
土豆,POTATO
黄瓜,CUCUMBER
冬瓜,WINTER_MELON
水果,FRUIT
杏,APRICOT
苹果,APPLE
桔子,ORANGE
柿子,PERSIMMON
香蕉,BANANA
核桃,WALNUT
葡萄,GRAPE
藕,LOTUS_ROOT
农具,FARM_TOOLS
犁,PLOW
耙,RAKE
锄,HOE_TOOL
铡刀,HAY_CUTTER
铁锹,SHOVEL
丁字镐,PICKAXE
叉,FORK
笸箩,BASKET
扁担,POLE
水车,WATERWHEEL
缰绳,REIN
笼头,HALTER
水利,WATER_CONSERVATION
防汛,FLOOD_CONTROL
排涝（排水）,DRAINAGE
抗旱,DROUGHT_RESISTANCE
化肥（肥田粉）,FERTILIZER
浮萍,DUCKWEED
副业,SIDELINE
饲养,REAR
鸡,CHICK
兔,RABBIT
蚕,SILKWORM
马,HORSE
骡,MULE
麦麸,WHEAT_BRAN
水浮莲,WATER_LOTUS
渔,FISHING
鱼,FISH
甲鱼（乌龟）,TURTLE
乌贼,SQUID
蚶,CLAM
鱼叉,HARPOON
鱼网,FISHING_NET
草垛,HAYSTACK
菜花,CAULIFLOWER
抽水机（水泵）,WATER_PUMP
荔枝,LYCHEE
苗圃,SEEDBED
泥鳅,LOACH
授粉,POLLINATION
田野,FIELD
囤,STORE
文化,CULTURE
文学,LITERATURE
文艺,ARTS
杂文,ESSAY
论文,PAPER
故事,STORY
情节,PLOT
目录,DIRECTORY
内容,CONTENT
美术（绘画）,PAINTING
国画,TRADITIONAL_CHINESE_PAINTING
油画,OIL_PAINTING
水彩,WATERCOLOR
色彩,COLOR
图案,PATTERN
漫画,COMICS
写生,SKETCH
书法,CALLIGRAPHY
字帖,COPYBOOK
刺绣,EMBROIDERY
盆景,BONSAI
杂技,ACROBATICS
魔术,MAGIC
化妆（打扮）,MAKEUP
新闻（消息）,NEWS
出版,PUBLISH
宣传,PUBLICITY
刊物,PUBLICATION
杂志,MAGAZINE
社论,EDITORIAL
校对,PROOFREAD
装订,BINDING_BOOKS
油印,MIMEOGRAPH
复印,COPY
录音,RECORDING
录像,VIDEO
照相（摄影）,CAPTURE_PHOTO
照片,PHOTOGRAPH
胶卷,FILM
扩印,EXPAND
古迹,MONUMENT
提琴,VIOLIN
锣,GONG
扩音器,LOUDSPEAKER
象棋,CHESS
围棋,GO_GAME
俱乐部,CLUB
文化馆,CULTURAL_CENTER
博物馆,MUSEUM
礼堂,HALL
教学,TEACH
教案,LESSON
学校,SCHOOL
教室,CLASSROOM
班级,CLASS
小学,PRIMARY_SCHOOL
中学,MIDDLE_SCHOOL
大学,UNIVERSITY
师范,COLLEGE
智育,INTELLECTUAL_DEVELOPMENT
学习,LEARN
学制,ACADEMIC
课本（书）,TEXTBOOK
课程,COURSE
上课,ATTEND_CLASS
寒假,WINTER_VACATION
毕业,GRADUATE
写字,WRITE
读书,READ
问答,QUESTION_AND_ANSWER
